Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2019-08-02T15:22:23Z,AAPL,200.783816988,496,Market,Filled,99588.773226048, 
2019-08-05T15:41:00Z,AAPL,192.621230472,-496,Market,Filled,-95540.130314112, 
2019-08-08T17:59:23Z,AAPL,199.904313114,478,Market,Filled,95554.261668492, 
2019-08-20T20:10:29Z,AAPL,211.238073655,-238,Market On Open,Filled,-50274.66152989, 
2019-08-20T20:10:29Z,NKE,81.1475936,626,Market On Open,Filled,50798.3935936, 
2019-08-21T13:31:00Z,NKE,81.088217312,-3,Market,Filled,-243.264651936, 
2019-08-21T13:46:11Z,NKE,81.54343552,-1,Market,Filled,-81.54343552, 
2019-08-21T14:03:00Z,NKE,81.187177792,1,Market,Filled,81.187177792, 
2019-08-21T14:08:00Z,AAPL,211.555501143,-1,Market,Filled,-211.555501143, 
2019-08-21T16:00:07Z,NKE,81.602811808,-1,Market,Filled,-81.602811808, 
2019-08-21T18:00:00Z,NKE,81.454371088,-1,Market,Filled,-81.454371088, 
2019-08-21T18:00:00Z,AAPL,210.69249516,1,Market,Filled,210.69249516, 
2019-08-21T19:51:00Z,NKE,81.721564384,-1,Market,Filled,-81.721564384, 
2019-08-22T14:35:00Z,NKE,81.84031696,-1,Market,Filled,-81.84031696, 
2019-08-22T14:44:00Z,AAPL,210.19651471,1,Market,Filled,210.19651471, 
2019-08-22T15:13:00Z,NKE,82.077822112,-1,Market,Filled,-82.077822112, 
2019-08-22T15:42:00Z,NKE,82.008549776,1,Market,Filled,82.008549776, 
2019-08-22T17:18:00Z,NKE,82.265847024,-1,Market,Filled,-82.265847024, 
2019-08-22T18:34:00Z,AAPL,210.702414769,-241,Market,Filled,-50779.281959329, 
2019-08-22T18:34:00Z,NKE,82.33511936,617,Market,Filled,50800.76864512, 
2019-08-23T21:34:35Z,NKE,80.55383072,-1235,Market On Open,Filled,-99483.9809392, 
2019-08-26T14:18:15Z,AAPL,203.897562995,487,Market,Filled,99298.113178565, 
2019-08-26T16:16:32Z,AAPL,204.64153367,-243,Market,Filled,-49727.89268181, 
2019-08-26T16:16:32Z,NKE,80.989256832,616,Market,Filled,49889.382208512, 
2019-08-26T19:55:23Z,NKE,81.206969888,-1,Market,Filled,-81.206969888, 
2019-08-27T14:19:00Z,NKE,82.23615888,-2,Market,Filled,-164.47231776, 
2019-08-27T14:19:00Z,AAPL,204.978800376,1,Market,Filled,204.978800376, 
